#;Teams;GP;MPG;PTS;2PM-2PA;2P%;3PM-3PA;3P%;FTM-FTA;FT%;OFF;ORPG;DEF;DRPG;REB;RPG;RP40M;BLK;BLKPG;BLKP40M;BLK/PF;PF;FoulsDrawnPG;AST;APG;AP40M;AST/TO;TO;TOPG;STL;STLPG;STLP40M;STL/TO;STL/PF;TOP40M;PFPG2;PPG;PAPG;EFF;EFFPG;+/-;+/- PG;DBLDBL;TRIDBL;FGMPG-FGAPG;FG%;3PMPG-3PAPG;FTMPG-FTAPG;POSS/PG;NETRTG;ORTG;DRTG;EFG%;DREB%;OREB%;FTRATE;AST%;PACE 40;PACE 48;STOCKS
19;Belgium;5;200;363;81-179;45.3;47-124;37.9;60-93;64.5;53;10.6;125;25;178;35.6;7.1;14;2.8;0.6;0.1;126;22.8;84;16.8;3.4;1.1;75;15;26;5.2;1;0.3;0.2;3;25.2;72.6;80.6;374;74.8;-40;-8;1;0;25.6-60.6;42.2;9.4-24.8;12-18.6;73;-11.5;99.2;110.7;50;68.3;28.5;30.7;23;73.2;87.8;8.2
15;Bosnia and Herzegovina;6;200;473;116-208;55.8;57-178;32;70-115;60.9;79;13.2;144;24;223;37.2;7.4;13;2.2;0.4;0.1;120;22;121;20.2;4;1.5;79;13.2;45;7.5;1.5;0.6;0.4;2.6;20;78.8;80.1;518;86.3;-8;-1.3;4;0;28.8-64.4;44.8;9.5-29.7;11.7-19.2;71.4;-2.1;110.3;112.4;52.2;68.6;35;29.8;28;71.5;85.8;9.8
24;Cyprus;5;200;295;74-168;44;39-139;28.1;30-39;76.9;43;8.6;112;22.4;155;31;6.2;3;0.6;0.1;0;110;13.2;68;13.6;2.7;1;70;14;29;5.8;1.2;0.4;0.3;2.8;22;59;92;267;53.4;-165;-33;0;0;22.6-61.4;36.8;7.8-27.8;6-7.8;70;-45.3;85;130.3;43.2;62.2;22.5;12.7;19.6;69.4;83.3;6.2
23;Czechia;5;200;338;68-135;50.4;52-181;28.7;46-68;67.6;53;10.6;108;21.6;161;32.2;6.4;11;2.2;0.4;0.1;117;17.6;98;19.6;3.9;1.4;72;14.4;28;5.6;1.1;0.4;0.2;2.9;23.4;67.6;86.8;329;65.8;-96;-19.2;0;0;24-63.2;38;10.4-36.2;9.2-13.6;72.5;-26.2;93.4;119.6;46.2;63.2;26.2;21.5;26.8;72.4;86.9;7.8
22;Estonia;5;200;352;78-169;46.2;46-147;31.3;58-79;73.4;54;10.8;117;23.4;171;34.2;6.8;4;0.8;0.2;0;120;18.2;97;19.4;3.9;1.5;65;13;30;6;1.2;0.5;0.2;2.6;24;70.4;79.4;362;72.4;-45;-9;0;0;24.8-63.2;39.2;9.2-29.4;11.6-15.8;71.1;-13;98.9;111.8;46.5;70.1;28.4;25;27.2;71.2;85.4;6.8
3;Finland;9;200;786;163-321;50.8;111-304;36.5;127-167;76;123;13.7;232;25.8;355;39.4;7.9;24;2.7;0.5;0.1;198;20.2;203;22.6;4.5;1.8;114;12.7;69;7.7;1.5;0.6;0.3;2.5;22;87.3;84.5;900;100;25;2.8;4;0;30.4-69.5;43.8;12.3-33.8;14.1-18.6;75.8;3.7;115.2;111.6;52.7;70.7;34.4;26.7;29.8;75.8;90.9;10.3
8;France;6;200;531;135-230;58.7;55-193;28.5;96-128;75;91;15.2;142;23.7;233;38.8;7.8;27;4.5;0.9;0.2;150;24.8;115;19.2;3.8;1.9;59;9.8;50;8.3;1.7;0.8;0.3;2;25;88.5;78.5;612;102;60;10;1;0;31.7-70.5;44.9;9.2-32.2;16-21.3;73.8;13.8;120.1;106.3;51.4;71;37.1;30.3;26;73.7;88.4;12.8
9;Georgia;7;200;526;126-240;52.5;57-173;32.9;103-141;73;83;11.9;168;24;251;35.9;7.2;18;2.6;0.5;0.1;141;21.3;121;17.3;3.5;1.4;84;12;37;5.3;1.1;0.4;0.3;2.4;20.1;75.1;78.4;578;82.6;-23;-3.3;2;0;26.1-59;44.3;8.1-24.7;14.7-20.1;68.1;-4.8;110.3;115.1;51.2;68;35.6;34.1;25.4;68.1;81.8;7.9
1;Germany;9;200;899;201-328;61.3;112-277;40.4;161-200;80.5;104;11.6;253;28.1;357;39.7;7.9;37;4.1;0.8;0.2;168;20.8;195;21.7;4.3;2.2;90;10;73;8.1;1.6;0.8;0.4;2;18.7;99.9;75.9;1102;122.4;216;24;4;0;34.7-67.2;51.7;12.4-30.8;17.9-22.2;75.3;31.7;132.6;100.9;61;67.6;34.1;33.1;28.8;75.3;90.4;12.2
21;Great Britain;5;200;354;77-181;42.5;41-142;28.9;77-99;77.8;52;10.4;103;20.6;155;31;6.2;10;2;0.4;0.1;99;19.2;82;16.4;3.3;1.2;71;14.2;45;9;1.8;0.6;0.5;2.8;19.8;70.8;96.8;333;66.6;-130;-26;0;0;23.6-64.6;36.5;8.2-28.4;15.4-19.8;77.8;-33.4;91;124.4;42.9;60.9;24.5;30.7;20.8;77.8;93.4;11
